calibrations,residual_count,candidate_ops,initial_soc_kwh,final_soc_kwh,calibration_seconds,day_seconds
"[{'theta': array([-251.78153733]), 'n_active': 1, 'beta1_train': -4008.981338175454, 'beta0_train': -4037.143703453317, 'beta1_val': -4054.261593004115, 'beta0_val': -4054.261593004115, 'selected_score': -4037.143703453317, 'evaluations': 30, 'seconds': 0.035608300007879734, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6917.73591974,     0.        ]), 'n_active': 1, 'beta1_train': -959.597978931321, 'beta0_train': -3206.593394339358, 'beta1_val': -652.4872916386535, 'beta0_val': -3238.0044044471056, 'selected_score': -3206.593394339358, 'evaluations': 15, 'seconds': 0.0231398000032641, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5910.14278182,     0.        , -2698.52417462,     0.        ]), 'n_active': 2, 'beta1_train': -3382.5559507910257, 'beta0_train': -3630.64019942845, 'beta1_val': -3403.5533910297095, 'beta0_val': -3656.2841910947805, 'selected_score': -3630.64019942845, 'evaluations': 95, 'seconds': 0.10683930000232067, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",24,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2122.4825093090917,9645.755054103893,0.1655874000134645,0.30592780000006314
"[{'theta': array([-9053.87876088]), 'n_active': 1, 'beta1_train': -4427.319363845117, 'beta0_train': -4643.508429694352, 'beta1_val': -4645.2, 'beta0_val': -4645.2, 'selected_score': -4643.508429694352, 'evaluations': 30, 'seconds': 0.037266100000124425, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-956.02961745,    0.        ]), 'n_active': 1, 'beta1_train': -2775.886627585895, 'beta0_train': -2939.2176146225825, 'beta1_val': -2778.4871727218174, 'beta0_val': -2778.4871727218174, 'selected_score': -2939.2176146225825, 'evaluations': 15, 'seconds': 0.023034400001051836, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7799.17669357,     0.        , -3538.66349922,     0.        ]), 'n_active': 2, 'beta1_train': -450.5109099947353, 'beta0_train': -1058.0382983257111, 'beta1_val': -1244.5556291106493, 'beta0_val': -1244.5556291106493, 'selected_score': -1058.0382983257111, 'evaluations': 85, 'seconds': 0.09869469999102876, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",25,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",9645.755054103893,3154.2556066666707,0.15899519999220502,0.29122510000888724
"[{'theta': array([-2843.5739604]), 'n_active': 1, 'beta1_train': -3681.6758786833234, 'beta0_train': -3863.251696704948, 'beta1_val': -3873.155861666667, 'beta0_val': -3913.2000000000003, 'selected_score': -3863.251696704948, 'evaluations': 20, 'seconds': 0.027758999989600852, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3210.59672534,     0.        ]), 'n_active': 1, 'beta1_train': -2505.172681357334, 'beta0_train': -2525.332793139326, 'beta1_val': -2934.3293403854955, 'beta0_val': -2934.3293403854955, 'selected_score': -2525.332793139326, 'evaluations': 15, 'seconds': 0.023676899989368394, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3987.82137244,     0.        , -2016.25383761,     0.        ]), 'n_active': 2, 'beta1_train': -57.81583515168395, 'beta0_train': -617.1954359432442, 'beta1_val': -806.1312322721609, 'beta0_val': -853.3551947721604, 'selected_score': -617.1954359432442, 'evaluations': 95, 'seconds': 0.1072926000051666, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",26,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",3154.2556066666707,2379.865290539731,0.15872849998413585,0.29079990000172984
"[{'theta': array([-6339.6862701]), 'n_active': 1, 'beta1_train': -4399.148988762295, 'beta0_train': -4425.578828893637, 'beta1_val': -4426.799999999999, 'beta0_val': -4426.799999999999, 'selected_score': -4425.578828893637, 'evaluations': 15, 'seconds': 0.023466700004064478, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5876.94730202,     0.        ]), 'n_active': 1, 'beta1_train': -2230.4678107336395, 'beta0_train': -2328.1802145428137, 'beta1_val': -2443.854266313538, 'beta0_val': -2443.854266313538, 'selected_score': -2328.1802145428137, 'evaluations': 15, 'seconds': 0.02510009999969043, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4920.63476845,     0.        , -7193.65840948,     0.        ]), 'n_active': 2, 'beta1_train': 7.905277596970537, 'beta0_train': -677.9449503084695, 'beta1_val': -909.9350437606693, 'beta0_val': -942.3970538477986, 'selected_score': -677.9449503084695, 'evaluations': 45, 'seconds': 0.061884199996711686, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",27,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2379.865290539731,2378.9477964430625,0.11045100000046659,0.2443375000002561
"[{'theta': array([-8315.69881887]), 'n_active': 1, 'beta1_train': -4364.95121647454, 'beta0_train': -4396.831707933242, 'beta1_val': -4398.0, 'beta0_val': -4398.0, 'selected_score': -4396.831707933242, 'evaluations': 15, 'seconds': 0.02427219999663066, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1271.7678074,     0.       ]), 'n_active': 1, 'beta1_train': -1875.4034108749197, 'beta0_train': -2081.2405202940167, 'beta1_val': -2992.1780471079896, 'beta0_val': -2992.1780471079896, 'selected_score': -2081.2405202940167, 'evaluations': 20, 'seconds': 0.029415899989544414, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7455.19006246,     0.        , -2605.76615263,     0.        ]), 'n_active': 2, 'beta1_train': -544.2984041004371, 'beta0_train': -951.1929798059078, 'beta1_val': -1169.06691505836, 'beta0_val': -1184.565501546914, 'selected_score': -951.1929798059078, 'evaluations': 55, 'seconds': 0.07475900001008995, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",28,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2378.9477964430625,2765.554810925691,0.12844709999626502,0.26233030000003055
"[{'theta': array([-7815.03948212]), 'n_active': 1, 'beta1_train': -2025.0200850587596, 'beta0_train': -2852.77514381522, 'beta1_val': -2512.815316734009, 'beta0_val': -2918.3999999999996, 'selected_score': -2852.77514381522, 'evaluations': 15, 'seconds': 0.02322730000014417, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1608.13581422,     0.        ]), 'n_active': 1, 'beta1_train': -1546.4541530494716, 'beta0_train': -1571.2816550036332, 'beta1_val': -1766.856782610144, 'beta0_val': -1766.8567826101478, 'selected_score': -1571.2816550036332, 'evaluations': 15, 'seconds': 0.02465900000242982, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5298.28251359,     0.        ,  -317.18950295,     0.        ]), 'n_active': 2, 'beta1_train': -6.767477596780846, 'beta0_train': -459.1101202595195, 'beta1_val': -382.06053651545915, 'beta0_val': -553.4291652187655, 'selected_score': -459.1101202595195, 'evaluations': 95, 'seconds': 0.1035046000033617, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",29,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2765.554810925691,2301.040932592593,0.1513909000059357,0.2958902000100352
"[{'theta': array([-7220.43731418]), 'n_active': 1, 'beta1_train': -2976.139769092208, 'beta0_train': -3042.3196311036877, 'beta1_val': -3044.3999999999996, 'beta0_val': -3044.3999999999996, 'selected_score': -3042.3196311036877, 'evaluations': 20, 'seconds': 0.028598999997484498, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4819.90530193,     0.        ]), 'n_active': 1, 'beta1_train': 350.9422649237442, 'beta0_train': -1905.541022092399, 'beta1_val': -180.8794243160819, 'beta0_val': -2212.8281976449625, 'selected_score': -1905.541022092399, 'evaluations': 20, 'seconds': 0.029671500000404194, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6707.70512162,     0.        , -5788.98883312,     0.        ]), 'n_active': 2, 'beta1_train': -216.64119654954217, 'beta0_train': -498.2645082217879, 'beta1_val': -645.284793346547, 'beta0_val': -645.284793346547, 'selected_score': -498.2645082217879, 'evaluations': 55, 'seconds': 0.07123980000324082, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",30,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2301.040932592593,1671.0951724532026,0.1295103000011295,0.26600560000224505
"[{'theta': array([-2238.02927791]), 'n_active': 1, 'beta1_train': -3358.726941108492, 'beta0_train': -3391.737353518407, 'beta1_val': -3652.201940380814, 'beta0_val': -3652.201940380814, 'selected_score': -3391.737353518407, 'evaluations': 50, 'seconds': 0.05240149999735877, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}, {'theta': array([-1118.71091937,     0.        ]), 'n_active': 1, 'beta1_train': -1236.4574682270404, 'beta0_train': -3302.5913067410106, 'beta1_val': -2429.153873406158, 'beta0_val': -4009.3284227639597, 'selected_score': -3302.5913067410106, 'evaluations': 50, 'seconds': 0.05534429999534041, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}, {'theta': array([-6285.25783932,     0.        , -7108.01394107,     0.        ]), 'n_active': 2, 'beta1_train': -3928.0560032312655, 'beta0_train': -4064.7711105037456, 'beta1_val': -4096.646503374835, 'beta0_val': -4096.646503374835, 'selected_score': -4064.7711105037456, 'evaluations': 95, 'seconds': 0.10515780000423547, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",31,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",1671.0951724532026,9733.626704999999,0.21290359999693464,0.3490973000007216
"[{'theta': array([-9189.68955894]), 'n_active': 1, 'beta1_train': -4341.314841356132, 'beta0_train': -4444.081109013645, 'beta1_val': -4450.8, 'beta0_val': -4450.8, 'selected_score': -4444.081109013645, 'evaluations': 15, 'seconds': 0.022944700001971796, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7785.56931298,     0.        ]), 'n_active': 1, 'beta1_train': -3060.361621960014, 'beta0_train': -3111.0556412622905, 'beta1_val': -2935.630076868915, 'beta0_val': -2935.630076868915, 'selected_score': -3111.0556412622905, 'evaluations': 15, 'seconds': 0.023419999997713603, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4775.32034175,     0.        , -8459.81869534,     0.        ]), 'n_active': 2, 'beta1_train': -187.33043591659242, 'beta0_train': -735.802807343766, 'beta1_val': -512.6873530186332, 'beta0_val': -746.9080518850002, 'selected_score': -735.802807343766, 'evaluations': 95, 'seconds': 0.10635869999532588, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",32,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",9733.626704999999,1662.4540028367383,0.15272339999501128,0.28141450000111945
"[{'theta': array([-1256.95627458]), 'n_active': 1, 'beta1_train': -4476.140684510493, 'beta0_train': -4564.953514270467, 'beta1_val': -4572.0, 'beta0_val': -4572.0, 'selected_score': -4564.953514270467, 'evaluations': 15, 'seconds': 0.022469399991678074, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3800.24035536,     0.        ]), 'n_active': 1, 'beta1_train': -2663.011356573043, 'beta0_train': -2694.4972386385966, 'beta1_val': -2586.718974942256, 'beta0_val': -2696.4127393045005, 'selected_score': -2694.4972386385966, 'evaluations': 15, 'seconds': 0.023217199995997362, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1722.30905054,     0.        , -5510.55514725,     0.        ]), 'n_active': 2, 'beta1_train': -835.6544499196835, 'beta0_train': -1095.4096883084974, 'beta1_val': -865.4864532369517, 'beta0_val': -1023.3897088362746, 'selected_score': -1095.4096883084974, 'evaluations': 95, 'seconds': 0.1027514000015799, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",33,"[{'update_slot': 84, 'hour': 14, 'info': 'oracle', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",1662.4540028367383,2363.2266495115023,0.14843799998925533,0.2776673999906052
