calibrations,residual_count,candidate_ops,initial_soc_kwh,final_soc_kwh,calibration_seconds,day_seconds
"[{'theta': array([-6536.93631661]), 'n_active': 1, 'beta1_train': -4008.981338175454, 'beta0_train': -4037.143703453317, 'beta1_val': -4054.261593004115, 'beta0_val': -4054.261593004115, 'selected_score': -4037.143703453317, 'evaluations': 25, 'seconds': 0.03152919998683501, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5815.20577993,     0.        ]), 'n_active': 1, 'beta1_train': -959.597978931321, 'beta0_train': -3206.593394339358, 'beta1_val': -652.4872916386535, 'beta0_val': -3238.0044044471056, 'selected_score': -3206.593394339358, 'evaluations': 15, 'seconds': 0.022909399995114654, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6052.39014314,     0.        , -9530.08185194,     0.        ]), 'n_active': 2, 'beta1_train': -3382.5559507910257, 'beta0_train': -3630.64019942845, 'beta1_val': -3403.5533910297095, 'beta0_val': -3656.2841910947805, 'selected_score': -3630.64019942845, 'evaluations': 95, 'seconds': 0.10306120000313967, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",24,[],2122.4825093090917,9645.736530383798,0.15749979998508934,0.2702166000090074
"[{'theta': array([-6891.00971403]), 'n_active': 1, 'beta1_train': -4427.319363845117, 'beta0_train': -4643.508429694352, 'beta1_val': -4645.2, 'beta0_val': -4645.2, 'selected_score': -4643.508429694352, 'evaluations': 15, 'seconds': 0.021248999997624196, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5709.48147379,     0.        ]), 'n_active': 1, 'beta1_train': -2775.886627585895, 'beta0_train': -2939.2176146225825, 'beta1_val': -2778.4871727218174, 'beta0_val': -2778.4871727218174, 'selected_score': -2939.2176146225825, 'evaluations': 25, 'seconds': 0.03170000000682194, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-8330.24836361,     0.        , -1946.88217213,     0.        ]), 'n_active': 2, 'beta1_train': -450.51090999473337, 'beta0_train': -1058.0382983257111, 'beta1_val': -1244.5556291106493, 'beta0_val': -1244.5556291106493, 'selected_score': -1058.0382983257111, 'evaluations': 35, 'seconds': 0.052347999997437, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",25,[],9645.736530383798,3059.6547896178904,0.10529700000188313,0.2129897999984678
"[{'theta': array([-4088.73281378]), 'n_active': 1, 'beta1_train': -3681.6758786833234, 'beta0_train': -3863.251696704948, 'beta1_val': -3873.155861666667, 'beta0_val': -3913.2000000000003, 'selected_score': -3863.251696704948, 'evaluations': 20, 'seconds': 0.026290900001185946, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6664.14965706,     0.        ]), 'n_active': 1, 'beta1_train': -2505.1726813578557, 'beta0_train': -2525.3327931396225, 'beta1_val': -2934.3293403858547, 'beta0_val': -2934.3293403858547, 'selected_score': -2525.3327931396225, 'evaluations': 15, 'seconds': 0.02234499999030959, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3048.51334885,     0.        , -6498.39381156,     0.        ]), 'n_active': 2, 'beta1_train': -57.81583515037977, 'beta0_train': -617.1954359432442, 'beta1_val': -806.1312322721609, 'beta0_val': -853.3551947721604, 'selected_score': -617.1954359432442, 'evaluations': 95, 'seconds': 0.10861510000540875, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",26,[],3059.6547896178904,2328.369625185186,0.15725099999690428,0.26328639998973813
"[{'theta': array([-5542.39631212]), 'n_active': 1, 'beta1_train': -4399.148988762295, 'beta0_train': -4425.578828893637, 'beta1_val': -4426.799999999999, 'beta0_val': -4426.799999999999, 'selected_score': -4425.578828893637, 'evaluations': 15, 'seconds': 0.022047699996619485, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4535.02295469,     0.        ]), 'n_active': 1, 'beta1_train': -2230.467810733744, 'beta0_train': -2328.180214543201, 'beta1_val': -2443.854266313643, 'beta0_val': -2443.854266313643, 'selected_score': -2328.180214543201, 'evaluations': 30, 'seconds': 0.034389399996143766, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4310.5428609 ,     0.        , -3801.04292712,     0.        ]), 'n_active': 2, 'beta1_train': 7.905277599814449, 'beta0_train': -677.944950306024, 'beta1_val': -909.9350437585977, 'beta0_val': -942.397053845727, 'selected_score': -677.944950306024, 'evaluations': 95, 'seconds': 0.10348380000505131, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",27,[],2328.369625185186,2270.814585064419,0.15992089999781456,0.26567100000102073
"[{'theta': array([-5175.29444805]), 'n_active': 1, 'beta1_train': -4364.95121647454, 'beta0_train': -4396.831707933242, 'beta1_val': -4398.0, 'beta0_val': -4398.0, 'selected_score': -4396.831707933242, 'evaluations': 20, 'seconds': 0.026337399991462007, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5128.73321971,     0.        ]), 'n_active': 1, 'beta1_train': -1875.4034108749197, 'beta0_train': -2081.2405202940167, 'beta1_val': -2992.1780471079896, 'beta0_val': -2992.1780471079896, 'selected_score': -2081.2405202940167, 'evaluations': 20, 'seconds': 0.028372999993734993, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4810.74713852,     0.        , -5404.20503717,     0.        ]), 'n_active': 2, 'beta1_train': -544.2984041004366, 'beta0_train': -951.1929798059078, 'beta1_val': -1169.06691505836, 'beta0_val': -1184.565501546914, 'selected_score': -951.1929798059078, 'evaluations': 45, 'seconds': 0.061768100000335835, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",28,[],2270.814585064419,2729.94312074074,0.11647849998553284,0.22514310000406113
"[{'theta': array([-8835.8804527]), 'n_active': 1, 'beta1_train': -2025.0200850587596, 'beta0_train': -2852.7751438152604, 'beta1_val': -2512.815316734009, 'beta0_val': -2918.3999999999996, 'selected_score': -2852.7751438152604, 'evaluations': 25, 'seconds': 0.0313148999994155, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3567.07215209,     0.        ]), 'n_active': 1, 'beta1_train': -1546.4541530494716, 'beta0_train': -1571.2816550036332, 'beta1_val': -1766.856782610144, 'beta0_val': -1766.8567826101478, 'selected_score': -1571.2816550036332, 'evaluations': 20, 'seconds': 0.027381400010199286, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-2711.42695823,     0.        , -1382.52360318,     0.        ]), 'n_active': 2, 'beta1_train': -6.767477596780846, 'beta0_train': -459.1101202595195, 'beta1_val': -382.06053651545915, 'beta0_val': -553.4291652187655, 'selected_score': -459.1101202595195, 'evaluations': 95, 'seconds': 0.10866060000262223, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",29,[],2729.94312074074,2269.6233770370372,0.16735690001223702,0.276696400003857
"[{'theta': array([-3380.78423585]), 'n_active': 1, 'beta1_train': -2976.139769092208, 'beta0_train': -3042.3196311036877, 'beta1_val': -3044.3999999999996, 'beta0_val': -3044.3999999999996, 'selected_score': -3042.3196311036877, 'evaluations': 15, 'seconds': 0.02234199999656994, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-8394.69564562,     0.        ]), 'n_active': 1, 'beta1_train': 350.9422649237442, 'beta0_train': -1905.541022092399, 'beta1_val': -180.8794243160819, 'beta0_val': -2212.8281976449625, 'selected_score': -1905.541022092399, 'evaluations': 35, 'seconds': 0.040720999997574836, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3218.45382945,     0.        , -6549.05342613,     0.        ]), 'n_active': 2, 'beta1_train': -216.64119654956755, 'beta0_train': -498.2645082218147, 'beta1_val': -645.2847933465798, 'beta0_val': -645.2847933465798, 'selected_score': -498.2645082218147, 'evaluations': 95, 'seconds': 0.1050011000043014, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",30,[],2269.6233770370372,1687.5950147383708,0.16806409999844618,0.27796950000629295
"[{'theta': array([-4830.5154045]), 'n_active': 1, 'beta1_train': -3358.726941108963, 'beta0_train': -3391.7373535187535, 'beta1_val': -3652.201940381267, 'beta0_val': -3652.201940381267, 'selected_score': -3391.7373535187535, 'evaluations': 25, 'seconds': 0.03102039999794215, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-9444.14192623,     0.        ]), 'n_active': 1, 'beta1_train': -1236.457468227493, 'beta0_train': -3302.5913067414635, 'beta1_val': -2429.1538734066107, 'beta0_val': -4009.3284227644126, 'selected_score': -3302.5913067414635, 'evaluations': 20, 'seconds': 0.027907199997571297, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([ -506.38303876,     0.        , -3563.16989652,     0.        ]), 'n_active': 2, 'beta1_train': -3928.0560032312655, 'beta0_train': -4064.7711105037456, 'beta1_val': -4096.646503374835, 'beta0_val': -4096.646503374835, 'selected_score': -4064.7711105037456, 'evaluations': 95, 'seconds': 0.10316660000535194, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",31,[],1687.5950147383708,9733.626704999999,0.16209420000086538,0.2733099999895785
"[{'theta': array([-7868.90947454]), 'n_active': 1, 'beta1_train': -4341.314841356132, 'beta0_train': -4444.081109013645, 'beta1_val': -4450.8, 'beta0_val': -4450.8, 'selected_score': -4444.081109013645, 'evaluations': 25, 'seconds': 0.03299500000139233, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-2754.4155381,     0.       ]), 'n_active': 1, 'beta1_train': -3060.361621960014, 'beta0_train': -3111.0556412622905, 'beta1_val': -2935.630076868915, 'beta0_val': -2935.630076868915, 'selected_score': -3111.0556412622905, 'evaluations': 30, 'seconds': 0.03680450000683777, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5327.24473876,     0.        , -6841.20227515,     0.        ]), 'n_active': 2, 'beta1_train': -187.33043591659242, 'beta0_train': -735.802807343766, 'beta1_val': -512.6873530186332, 'beta0_val': -746.9080518850002, 'selected_score': -735.802807343766, 'evaluations': 95, 'seconds': 0.11042389999784064, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",32,[],9733.626704999999,1661.846685067087,0.18022340000607073,0.2915465999976732
"[{'theta': array([-2942.96070758]), 'n_active': 1, 'beta1_train': -4476.140684510492, 'beta0_train': -4564.953514270467, 'beta1_val': -4572.0, 'beta0_val': -4572.0, 'selected_score': -4564.953514270467, 'evaluations': 25, 'seconds': 0.0314455000043381, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-459.81550174,    0.        ]), 'n_active': 1, 'beta1_train': -2663.011356573043, 'beta0_train': -2694.4972386385966, 'beta1_val': -2586.718974942256, 'beta0_val': -2696.4127393045005, 'selected_score': -2694.4972386385966, 'evaluations': 25, 'seconds': 0.02971820000675507, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7295.02347625,     0.        ,  -913.73036348,     0.        ]), 'n_active': 2, 'beta1_train': -835.6544499191237, 'beta0_train': -1095.4096883084455, 'beta1_val': -865.4864532362458, 'beta0_val': -1023.3897088362462, 'selected_score': -1095.4096883084455, 'evaluations': 75, 'seconds': 0.08824050000112038, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",33,[],1661.846685067087,2368.8167921620256,0.14940420001221355,0.25460679999378044
