calibrations,residual_count,candidate_ops,initial_soc_kwh,final_soc_kwh,calibration_seconds,day_seconds
"[{'theta': array([-6538.11152917]), 'n_active': 1, 'beta1_train': -4008.981338175454, 'beta0_train': -4037.143703453317, 'beta1_val': -4054.261593004115, 'beta0_val': -4054.261593004115, 'selected_score': -4037.143703453317, 'evaluations': 20, 'seconds': 0.02808010000444483, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7258.39227407,     0.        ]), 'n_active': 1, 'beta1_train': -959.597978931321, 'beta0_train': -3206.593394339358, 'beta1_val': -652.4872916386535, 'beta0_val': -3238.0044044471056, 'selected_score': -3206.593394339358, 'evaluations': 20, 'seconds': 0.028479000000515953, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([ -987.35492245,     0.        , -8048.3012915 ,     0.        ]), 'n_active': 2, 'beta1_train': -3382.5559507910257, 'beta0_train': -3630.64019942845, 'beta1_val': -3403.5533910297095, 'beta0_val': -3656.2841910947805, 'selected_score': -3630.64019942845, 'evaluations': 95, 'seconds': 0.10613010000088252, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",24,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2122.4825093090917,9645.736530383798,0.1626892000058433,0.3137007000041194
"[{'theta': array([-3512.5598804]), 'n_active': 1, 'beta1_train': -4427.319363845117, 'beta0_train': -4643.508429694352, 'beta1_val': -4645.2, 'beta0_val': -4645.2, 'selected_score': -4643.508429694352, 'evaluations': 20, 'seconds': 0.027667400005157106, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4081.05032168,     0.        ]), 'n_active': 1, 'beta1_train': -2775.886627585895, 'beta0_train': -2939.2176146225825, 'beta1_val': -2778.4871727218174, 'beta0_val': -2778.4871727218174, 'selected_score': -2939.2176146225825, 'evaluations': 25, 'seconds': 0.032695300003979355, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1423.58539049,     0.        , -8774.64873748,     0.        ]), 'n_active': 2, 'beta1_train': -450.51090999473337, 'beta0_train': -1058.0382983257111, 'beta1_val': -1244.5556291106493, 'beta0_val': -1244.5556291106493, 'selected_score': -1058.0382983257111, 'evaluations': 65, 'seconds': 0.08677959999477025, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",25,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",9645.736530383798,3059.6547896178904,0.1471423000039067,0.29532089999702293
"[{'theta': array([-2062.38103544]), 'n_active': 1, 'beta1_train': -3681.6758786833234, 'beta0_train': -3863.251696704948, 'beta1_val': -3873.155861666667, 'beta0_val': -3913.2000000000003, 'selected_score': -3863.251696704948, 'evaluations': 20, 'seconds': 0.027499499992700294, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5441.50398121,     0.        ]), 'n_active': 1, 'beta1_train': -2505.1726813578557, 'beta0_train': -2525.3327931396225, 'beta1_val': -2934.3293403858547, 'beta0_val': -2934.3293403858547, 'selected_score': -2525.3327931396225, 'evaluations': 20, 'seconds': 0.028042899997672066, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5159.05174693,     0.        , -7473.18013929,     0.        ]), 'n_active': 2, 'beta1_train': -172.5537471173983, 'beta0_train': -617.1954359432442, 'beta1_val': -806.1312322721609, 'beta0_val': -853.3551947721604, 'selected_score': -617.1954359432442, 'evaluations': 95, 'seconds': 0.11281140000210144, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",26,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",3059.6547896178904,2328.369625185186,0.1683537999924738,0.310783300010371
"[{'theta': array([-4261.00514481]), 'n_active': 1, 'beta1_train': -4399.148988762295, 'beta0_train': -4425.578828893637, 'beta1_val': -4426.799999999999, 'beta0_val': -4426.799999999999, 'selected_score': -4425.578828893637, 'evaluations': 15, 'seconds': 0.022817799996118993, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6708.82056676,     0.        ]), 'n_active': 1, 'beta1_train': -2230.467810733744, 'beta0_train': -2328.180214543201, 'beta1_val': -2443.854266313643, 'beta0_val': -2443.854266313643, 'selected_score': -2328.180214543201, 'evaluations': 20, 'seconds': 0.027965999994194135, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-8521.82194308,     0.        , -1854.67810485,     0.        ]), 'n_active': 2, 'beta1_train': 7.905277599574062, 'beta0_train': -677.944950306024, 'beta1_val': -909.9350437585977, 'beta0_val': -942.397053845727, 'selected_score': -677.944950306024, 'evaluations': 65, 'seconds': 0.07873290000134148, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",27,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2328.369625185186,2270.814585064419,0.1295166999916546,0.26932779999333434
"[{'theta': array([-4779.76680015]), 'n_active': 1, 'beta1_train': -4364.95121647454, 'beta0_train': -4396.831707933242, 'beta1_val': -4398.0, 'beta0_val': -4398.0, 'selected_score': -4396.831707933242, 'evaluations': 20, 'seconds': 0.0291544000065187, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1735.2010052,     0.       ]), 'n_active': 1, 'beta1_train': -1875.4034108749197, 'beta0_train': -2081.2405202940167, 'beta1_val': -2992.1780471079896, 'beta0_val': -2992.1780471079896, 'selected_score': -2081.2405202940167, 'evaluations': 30, 'seconds': 0.03727669999352656, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5547.70388414,     0.        , -6130.7135797 ,     0.        ]), 'n_active': 2, 'beta1_train': -574.62124554265, 'beta0_train': -951.1929798059078, 'beta1_val': -1169.06691505836, 'beta0_val': -1184.565501546914, 'selected_score': -951.1929798059078, 'evaluations': 55, 'seconds': 0.07348179999098647, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",28,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2270.814585064419,2729.94312074074,0.13991289999103174,0.2813140999933239
"[{'theta': array([-3368.00205752]), 'n_active': 1, 'beta1_train': -2025.0200850587596, 'beta0_train': -2852.7751438152604, 'beta1_val': -2512.815316734009, 'beta0_val': -2918.3999999999996, 'selected_score': -2852.7751438152604, 'evaluations': 20, 'seconds': 0.02651649998733774, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1848.64720411,     0.        ]), 'n_active': 1, 'beta1_train': -1546.4541530494716, 'beta0_train': -1571.2816550036332, 'beta1_val': -1766.856782610144, 'beta0_val': -1766.8567826101478, 'selected_score': -1571.2816550036332, 'evaluations': 15, 'seconds': 0.02372589999868069, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-2239.14286774,     0.        , -7450.459191  ,     0.        ]), 'n_active': 2, 'beta1_train': -190.32450395699334, 'beta0_train': -459.1101202595195, 'beta1_val': -382.06053651545915, 'beta0_val': -553.4291652187655, 'selected_score': -459.1101202595195, 'evaluations': 95, 'seconds': 0.1147590000036871, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",29,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2729.94312074074,2269.6233770370372,0.16500139998970553,0.30611180000414606
"[{'theta': array([-1546.00636203]), 'n_active': 1, 'beta1_train': -2976.139769092208, 'beta0_train': -3042.3196311036877, 'beta1_val': -3044.3999999999996, 'beta0_val': -3044.3999999999996, 'selected_score': -3042.3196311036877, 'evaluations': 15, 'seconds': 0.02253729999938514, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3203.04677733,     0.        ]), 'n_active': 1, 'beta1_train': 350.9422649237442, 'beta0_train': -1905.541022092399, 'beta1_val': -180.8794243160819, 'beta0_val': -2212.8281976449625, 'selected_score': -1905.541022092399, 'evaluations': 20, 'seconds': 0.02701859999797307, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6241.76376572,     0.        , -8798.54384993,     0.        ]), 'n_active': 2, 'beta1_train': -216.64119654956755, 'beta0_train': -498.2645082218147, 'beta1_val': -645.2847933465798, 'beta0_val': -645.2847933465798, 'selected_score': -498.2645082218147, 'evaluations': 95, 'seconds': 0.10822610001196153, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",30,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2269.6233770370372,1687.5950147383708,0.15778200000931975,0.300062499998603
"[{'theta': array([-3677.10816816]), 'n_active': 1, 'beta1_train': -3358.726941108963, 'beta0_train': -3391.7373535187535, 'beta1_val': -3652.201940381267, 'beta0_val': -3652.201940381267, 'selected_score': -3391.7373535187535, 'evaluations': 15, 'seconds': 0.022594099995330907, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6217.38564648,     0.        ]), 'n_active': 1, 'beta1_train': -1236.457468227493, 'beta0_train': -3302.5913067414635, 'beta1_val': -2429.1538734066107, 'beta0_val': -4009.3284227644126, 'selected_score': -3302.5913067414635, 'evaluations': 30, 'seconds': 0.03691070000058971, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5072.51661812,     0.        ,  -273.149299  ,     0.        ]), 'n_active': 2, 'beta1_train': -3928.0560032312655, 'beta0_train': -4064.7711105037456, 'beta1_val': -4096.646503374835, 'beta0_val': -4096.646503374835, 'selected_score': -4064.7711105037456, 'evaluations': 95, 'seconds': 0.10946680000051856, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",31,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",1687.5950147383708,9733.626704999999,0.16897159999643918,0.31555260000459384
"[{'theta': array([-2400.84965439]), 'n_active': 1, 'beta1_train': -4341.314841356132, 'beta0_train': -4444.081109013645, 'beta1_val': -4450.8, 'beta0_val': -4450.8, 'selected_score': -4444.081109013645, 'evaluations': 20, 'seconds': 0.02852510000229813, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4330.3839167,     0.       ]), 'n_active': 1, 'beta1_train': -3060.361621960014, 'beta0_train': -3111.0556412622905, 'beta1_val': -2935.630076868915, 'beta0_val': -2935.630076868915, 'selected_score': -3111.0556412622905, 'evaluations': 15, 'seconds': 0.023598300002049655, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3694.39598957,     0.        , -6974.25928961,     0.        ]), 'n_active': 2, 'beta1_train': -187.33043591645725, 'beta0_train': -735.802807343753, 'beta1_val': -512.6873530184058, 'beta0_val': -746.9080518849931, 'selected_score': -735.802807343753, 'evaluations': 95, 'seconds': 0.10784919999423437, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",32,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",9733.626704999999,1661.8466850670693,0.15997259999858215,0.3135449000110384
"[{'theta': array([-7918.81547696]), 'n_active': 1, 'beta1_train': -4476.140684510492, 'beta0_train': -4564.953514270467, 'beta1_val': -4572.0, 'beta0_val': -4572.0, 'selected_score': -4564.953514270467, 'evaluations': 20, 'seconds': 0.029165100000682287, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4767.85762576,     0.        ]), 'n_active': 1, 'beta1_train': -2663.0113565728816, 'beta0_train': -2694.4972386383765, 'beta1_val': -2586.718974942096, 'beta0_val': -2696.41273930434, 'selected_score': -2694.4972386383765, 'evaluations': 30, 'seconds': 0.039484200009610504, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3139.36807223,     0.        , -5248.53458778,     0.        ]), 'n_active': 2, 'beta1_train': -841.4447316051052, 'beta0_train': -1095.409707424984, 'beta1_val': -865.4867144682651, 'beta0_val': -1023.3897193790006, 'selected_score': -1095.409707424984, 'evaluations': 55, 'seconds': 0.07489780000469182, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",33,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",1661.8466850670693,2368.81681706617,0.1435471000149846,0.2807551000005333
