check_id,status,observed,expected,details
source_table_dimensions,PASS,"{'attachment_1': (144, 4), 'attachment_2_load': (365, 145), 'attachment_2_pv': (365, 145), 'attachment_3': (1460, 26), 'attachment_4': (365, 145)}","{'attachment_1': (144, 4), 'attachment_2_load': (365, 145), 'attachment_2_pv': (365, 145), 'attachment_3': (1460, 26), 'attachment_4': (365, 145)}",五张源数据表的行列数符合数据契约
dispatch_row_count,PASS,52560,52560,全年日历物理区间主表行数
hourly_forecast_row_count,PASS,35040,35040,附件3小时长表行数
ten_min_forecast_row_count,PASS,210240,210240,线性插值后的10分钟预报行数
baseline_row_count,PASS,52560,52560,日初基线预报行数
dispatch_primary_key,PASS,True,True,plan_date与slot_index组合键唯一
forecast_primary_key,PASS,True,True,issue_ts与horizon_10min组合键唯一
daily_slot_completeness,PASS,"min=144, max=144",all=144,每个源日期均含144个日历物理区间
ten_minute_continuity,PASS,[10.0],[10.0],同一源日期相邻区间起点间隔恒为10分钟
calendar_day_boundaries,PASS,True,True,源日期覆盖00:00至次日00:00的144个物理区间
load_pv_endpoint_semantics,PASS,True,True,负荷与光伏观测时刻严格等于对应物理区间终点
price_start_semantics,PASS,True,True,购电价格时刻严格等于对应物理区间起点
template_mapping,PASS,True,True,日历物理区间到正式结果模板采用明确的日期与行号映射
actual_numeric_finite,PASS,True,True,负荷、光伏、净负荷与固定电价字段无空值或无穷值
variable_price_availability,PASS,52559,52559,波动电价可用性标志与源数据覆盖范围一致
forecast_numeric_finite,PASS,True,True,小时及10分钟光伏预报无空值或无穷值
baseline_numeric_finite,PASS,True,True,日初负载与光伏基线除2025-01-01外无空值或无穷值
baseline_day0_no_forecast,PASS,True,True,2025-01-01日初基线为无预测（NaN），与1/1冻结（无计划、电池不动作、不入统计）口径一致
source_values_nonnegative,PASS,True,True,负载、光伏和两类电价非负；净负荷允许为负
power_energy_conversion,PASS,True,True,10分钟电量严格等于功率乘以1/6
fixed_price_alignment,PASS,True,True,固定价格按物理区间起点与附件1时刻标签对齐
variable_price_alignment,PASS,True,True,波动价格按物理区间起点与附件4时刻标签对齐
hourly_issue_structure,PASS,"{0: 365, 6: 365, 12: 365, 18: 365}","{0,6,12,18}:365 each; 24 horizons",每个发布时间均含24个步长
hourly_target_mapping,PASS,True,True,预测目标时刻等于发布时间加预测步长
interpolation_anchor_fidelity,PASS,True,True,每个整点插值严格还原附件3小时预报
interpolation_nonnegative,PASS,0.0,>=0,插值结果非负
result_period_count,PASS,48096,48096,正式结果期日历物理区间数
baseline_daily_completeness,PASS,"min=144, max=144",all=144,每日基线含144个时段
baseline_causality,PASS,True,True,训练来源计划日期严格早于发布时间
key_dates_extractable,PASS,576,576,四个必交日期均可无歧义提取
