calibrations,residual_count,initial_soc_kwh,final_soc_kwh,calibration_seconds,day_seconds
"[{'theta': array([-3634.76115215, -5792.58030201,     0.        ,  -465.73044319,
           0.        , -8136.40911025,     0.        ]), 'n_active': 4, 'beta1_train': -3344.616009958928, 'beta0_train': -3665.2087083421425, 'beta1_val': -3217.933008436712, 'beta0_val': -3727.1827966999003, 'selected_score': -3675.2288409138046, 'evaluations': 185, 'seconds': 0.24969690000580158, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",24,2122.4825093090917,9868.667452222222,0.24969690000580158,0.29186440000194125
"[{'theta': array([-5032.94903386, -1028.34937538,     0.        ,  -612.15860842,
           0.        , -7432.7943975 ,     0.        ]), 'n_active': 4, 'beta1_train': 702.1003388379457, 'beta0_train': -313.06877137063054, 'beta1_val': -1007.2035286970163, 'beta0_val': -1007.2035286970163, 'selected_score': -335.4107794940859, 'evaluations': 185, 'seconds': 0.2506362000131048, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",25,9868.667452222222,3154.2556066666707,0.2506362000131048,0.29580320000241045
"[{'theta': array([ -839.75495672, -9445.06764103,     0.        ,  -605.600959  ,
           0.        , -4731.40012177,     0.        ]), 'n_active': 4, 'beta1_train': 1365.6473811427363, 'beta0_train': -164.39707006717245, 'beta1_val': -829.1257856083954, 'beta0_val': -916.3938864417281, 'selected_score': -194.3892995560228, 'evaluations': 185, 'seconds': 0.29910109999764245, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",26,3154.2556066666707,2460.469440000001,0.29910109999764245,0.3413645999971777
"[{'theta': array([-8525.15651479, -6755.79290989,     0.        ,  -721.96480762,
           0.        , -3517.5786207 ,     0.        ]), 'n_active': 4, 'beta1_train': 698.1680679221291, 'beta0_train': -155.72700696849668, 'beta1_val': -908.6810042962592, 'beta0_val': -1021.2564754444978, 'selected_score': -172.60724468877328, 'evaluations': 185, 'seconds': 0.270566700011841, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",27,2460.469440000001,2404.0540665496305,0.270566700011841,0.309499599999981
"[{'theta': array([-7344.88101733, -3144.17344773,     0.        ,  -509.42719672,
           0.        , -1820.42580833,     0.        ]), 'n_active': 4, 'beta1_train': 749.7960358563067, 'beta0_train': -95.52326768111936, 'beta1_val': -967.4509317115222, 'beta0_val': -967.4509317115222, 'selected_score': -126.77076115824126, 'evaluations': 185, 'seconds': 0.26297350000822917, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",28,2404.0540665496305,2844.166824444443,0.26297350000822917,0.30164170000352897
"[{'theta': array([-6163.00678274, -1308.54748895,     0.        ,  -887.67791779,
           0.        , -6575.39159052,     0.        ]), 'n_active': 4, 'beta1_train': 1807.345029922391, 'beta0_train': 237.1689787205856, 'beta1_val': 93.60402513025258, 'beta0_val': -580.3076392269963, 'selected_score': 216.39047685776202, 'evaluations': 185, 'seconds': 0.2493238999886671, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",29,2844.166824444443,2369.470914074075,0.2493238999886671,0.28902259998722
"[{'theta': array([-3322.92686641, -4962.07739889,     0.        ,  -570.22495476,
           0.        , -1804.02794895,     0.        ]), 'n_active': 4, 'beta1_train': 267.24814301409083, 'beta0_train': -388.6672521581163, 'beta1_val': -707.1624501972613, 'beta0_val': -707.1624501972613, 'selected_score': -400.35884693114696, 'evaluations': 185, 'seconds': 0.2574938000034308, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",30,2369.470914074075,1844.185709490492,0.2574938000034308,0.30329909999272786
"[{'theta': array([-9116.53751078, -1720.02264592,     0.        , -9091.27155926,
           0.        , -5302.2435324 ,     0.        ]), 'n_active': 4, 'beta1_train': -3786.3783881573027, 'beta0_train': -4075.7073018228393, 'beta1_val': -4113.977866848169, 'beta0_val': -4113.977866848169, 'selected_score': -4075.7073018228393, 'evaluations': 185, 'seconds': 0.31169849999423604, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",31,1844.185709490492,9733.626704999999,0.31169849999423604,0.36370349999924656
"[{'theta': array([ -507.90928958, -8589.72303769,     0.        ,  -629.74246378,
           0.        , -1177.3211838 ,     0.        ]), 'n_active': 4, 'beta1_train': 237.16547293630026, 'beta0_train': -387.1818632695106, 'beta1_val': 3175.9304768469337, 'beta0_val': 1821.6268372236382, 'selected_score': -410.2630431458072, 'evaluations': 185, 'seconds': 0.3061550999991596, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",32,9733.626704999999,1751.221074259262,0.3061550999991596,0.3479162000003271
"[{'theta': array([-4911.35478339, -5926.61917767,     0.        ,  -639.93770005,
           0.        , -7286.45798435,     0.        ]), 'n_active': 4, 'beta1_train': 14.961796659232505, 'beta0_train': -487.3904127821743, 'beta1_val': -867.8566312472221, 'beta0_val': -1074.2480363555562, 'selected_score': -516.1713074785484, 'evaluations': 185, 'seconds': 0.2838682000001427, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",33,1751.221074259262,2485.5746087037032,0.2838682000001427,0.32677159999730065
