calibrations,residual_count,candidate_ops,initial_soc_kwh,final_soc_kwh,calibration_seconds,day_seconds
"[{'theta': array([-3528.2261098]), 'n_active': 1, 'beta1_train': -4008.981338175454, 'beta0_train': -4037.143703453317, 'beta1_val': -4054.261593004115, 'beta0_val': -4054.261593004115, 'selected_score': -4037.143703453317, 'evaluations': 20, 'seconds': 0.026987799996277317, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4729.54557264,     0.        ]), 'n_active': 1, 'beta1_train': -959.597978931321, 'beta0_train': -3206.593394339358, 'beta1_val': -652.4872916386535, 'beta0_val': -3238.0044044471056, 'selected_score': -3206.593394339358, 'evaluations': 35, 'seconds': 0.03986600000644103, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5364.18452455,     0.        , -3547.08035279,     0.        ]), 'n_active': 2, 'beta1_train': -3382.5559507910257, 'beta0_train': -3630.64019942845, 'beta1_val': -3403.5533910297095, 'beta0_val': -3656.2841910947805, 'selected_score': -3630.64019942845, 'evaluations': 95, 'seconds': 0.10515220000525005, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",24,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2122.4825093090917,9645.736537414994,0.1720060000079684,0.33839080001052935
"[{'theta': array([-1917.12119212]), 'n_active': 1, 'beta1_train': -4427.319363845117, 'beta0_train': -4643.508429694352, 'beta1_val': -4645.2, 'beta0_val': -4645.2, 'selected_score': -4643.508429694352, 'evaluations': 15, 'seconds': 0.021893999990425073, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3997.46869597,     0.        ]), 'n_active': 1, 'beta1_train': -2775.886627585895, 'beta0_train': -2939.2176146225825, 'beta1_val': -2778.4871727218174, 'beta0_val': -2778.4871727218174, 'selected_score': -2939.2176146225825, 'evaluations': 20, 'seconds': 0.026553600007900968, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-2093.86489361,     0.        ,  -565.64496697,     0.        ]), 'n_active': 2, 'beta1_train': -450.5109099947355, 'beta0_train': -1058.0382983257111, 'beta1_val': -1244.5556291106493, 'beta0_val': -1244.5556291106493, 'selected_score': -1058.0382983257111, 'evaluations': 85, 'seconds': 0.0966160999960266, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",25,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",9645.736537414994,3054.8031915920724,0.14506369999435265,0.3099437000055332
"[{'theta': array([-6318.39664348]), 'n_active': 1, 'beta1_train': -3681.6758786833234, 'beta0_train': -3863.251696704948, 'beta1_val': -3873.155861666667, 'beta0_val': -3913.2000000000003, 'selected_score': -3863.251696704948, 'evaluations': 20, 'seconds': 0.026369599989266135, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4298.59181052,     0.        ]), 'n_active': 1, 'beta1_train': -2505.172681357334, 'beta0_train': -2525.332793139326, 'beta1_val': -2934.3293403854955, 'beta0_val': -2934.3293403854955, 'selected_score': -2525.332793139326, 'evaluations': 20, 'seconds': 0.02745100000174716, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3061.91872501,     0.        ,  -649.32617427,     0.        ]), 'n_active': 2, 'beta1_train': -172.55374711830635, 'beta0_train': -617.1954359432442, 'beta1_val': -806.1312322721609, 'beta0_val': -853.3551947721604, 'selected_score': -617.1954359432442, 'evaluations': 95, 'seconds': 0.10804989999451209, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",26,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",3054.8031915920724,2328.369625185186,0.16187049998552538,0.32371969999803696
"[{'theta': array([-7498.38649487]), 'n_active': 1, 'beta1_train': -4399.148988762295, 'beta0_train': -4425.578828893637, 'beta1_val': -4426.799999999999, 'beta0_val': -4426.799999999999, 'selected_score': -4425.578828893637, 'evaluations': 15, 'seconds': 0.022364100004779175, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7627.6157581,     0.       ]), 'n_active': 1, 'beta1_train': -2230.467810733744, 'beta0_train': -2328.180214543201, 'beta1_val': -2443.854266313643, 'beta0_val': -2443.854266313643, 'selected_score': -2328.180214543201, 'evaluations': 15, 'seconds': 0.023677600009250455, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5016.37063362,     0.        , -2797.85231068,     0.        ]), 'n_active': 2, 'beta1_train': 7.905277599574062, 'beta0_train': -677.944950306024, 'beta1_val': -909.9350437585977, 'beta0_val': -942.397053845727, 'selected_score': -677.944950306024, 'evaluations': 65, 'seconds': 0.07907279999926686, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",27,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2328.369625185186,2270.814595610332,0.1251145000132965,0.2836054000072181
"[{'theta': array([-8034.15497142]), 'n_active': 1, 'beta1_train': -4364.95121647454, 'beta0_train': -4396.831707933242, 'beta1_val': -4398.0, 'beta0_val': -4398.0, 'selected_score': -4396.831707933242, 'evaluations': 20, 'seconds': 0.02714439999544993, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1244.75081456,     0.        ]), 'n_active': 1, 'beta1_train': -1875.4034108749197, 'beta0_train': -2081.2405202940167, 'beta1_val': -2992.1780471079896, 'beta0_val': -2992.1780471079896, 'selected_score': -2081.2405202940167, 'evaluations': 25, 'seconds': 0.03330670000286773, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5831.7508682 ,     0.        , -6826.23219922,     0.        ]), 'n_active': 2, 'beta1_train': -574.62124554265, 'beta0_train': -951.1929798059078, 'beta1_val': -1169.06691505836, 'beta0_val': -1184.565501546914, 'selected_score': -951.1929798059078, 'evaluations': 75, 'seconds': 0.0871054000017466, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",28,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2270.814595610332,2729.9431275487464,0.14755650000006426,0.30906369999866
"[{'theta': array([-9202.45149599]), 'n_active': 1, 'beta1_train': -2025.0200850587603, 'beta0_train': -2852.7751438152995, 'beta1_val': -2512.815316734009, 'beta0_val': -2918.3999999999996, 'selected_score': -2852.7751438152995, 'evaluations': 20, 'seconds': 0.026847799992538057, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-2646.88312443,     0.        ]), 'n_active': 1, 'beta1_train': -1546.4541530494716, 'beta0_train': -1571.2816550036332, 'beta1_val': -1766.856782610144, 'beta0_val': -1766.8567826101478, 'selected_score': -1571.2816550036332, 'evaluations': 20, 'seconds': 0.026888599997619167, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6075.39496085,     0.        , -6246.99085209,     0.        ]), 'n_active': 2, 'beta1_train': -190.32450395699334, 'beta0_train': -459.1101202595195, 'beta1_val': -382.06053651545915, 'beta0_val': -553.4291652187655, 'selected_score': -459.1101202595195, 'evaluations': 95, 'seconds': 0.10374910000246018, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",29,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2729.9431275487464,2269.623385941856,0.1574854999926174,0.3153740999987349
"[{'theta': array([-4952.48730465]), 'n_active': 1, 'beta1_train': -2976.139769092208, 'beta0_train': -3042.3196311036877, 'beta1_val': -3044.3999999999996, 'beta0_val': -3044.3999999999996, 'selected_score': -3042.3196311036877, 'evaluations': 20, 'seconds': 0.02716599999985192, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5694.75655865,     0.        ]), 'n_active': 1, 'beta1_train': 350.9422649237442, 'beta0_train': -1905.541022092399, 'beta1_val': -180.8794243160819, 'beta0_val': -2212.8281976449625, 'selected_score': -1905.541022092399, 'evaluations': 15, 'seconds': 0.023122999991755933, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3175.28154824,     0.        , -6789.62110731,     0.        ]), 'n_active': 2, 'beta1_train': -216.64119654959487, 'beta0_train': -498.2645082218393, 'beta1_val': -645.284793346618, 'beta0_val': -645.284793346618, 'selected_score': -498.2645082218393, 'evaluations': 65, 'seconds': 0.07863099999667611, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",30,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",2269.623385941856,1687.5950180635468,0.12891999998828396,0.2975680999952601
"[{'theta': array([-1155.03181132]), 'n_active': 1, 'beta1_train': -3358.726941108737, 'beta0_train': -3391.737353518588, 'beta1_val': -3652.20194038105, 'beta0_val': -3652.20194038105, 'selected_score': -3391.737353518588, 'evaluations': 15, 'seconds': 0.02271429999382235, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1319.67129647,     0.        ]), 'n_active': 1, 'beta1_train': -1236.4574682272764, 'beta0_train': -3302.591306741247, 'beta1_val': -2429.1538734063934, 'beta0_val': -4009.3284227641957, 'selected_score': -3302.591306741247, 'evaluations': 50, 'seconds': 0.05222470000444446, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}, {'theta': array([-4291.337201  ,     0.        , -7953.39566476,     0.        ]), 'n_active': 2, 'beta1_train': -3928.0560032312655, 'beta0_train': -4064.7711105037456, 'beta1_val': -4096.646503374835, 'beta0_val': -4096.646503374835, 'selected_score': -4064.7711105037456, 'evaluations': 95, 'seconds': 0.10561339999549091, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",31,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",1687.5950180635468,9733.626704999999,0.18055239999375772,0.34563450000132434
"[{'theta': array([-8291.05388486]), 'n_active': 1, 'beta1_train': -4341.314841356132, 'beta0_train': -4444.081109013645, 'beta1_val': -4450.8, 'beta0_val': -4450.8, 'selected_score': -4444.081109013645, 'evaluations': 15, 'seconds': 0.022202100008144043, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-398.73434436,    0.        ]), 'n_active': 1, 'beta1_train': -3060.361621960014, 'beta0_train': -3111.0556412622905, 'beta1_val': -2935.630076868915, 'beta0_val': -2935.630076868915, 'selected_score': -3111.0556412622905, 'evaluations': 15, 'seconds': 0.023421599995344877, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1833.13375416,     0.        ,  -219.45115136,     0.        ]), 'n_active': 2, 'beta1_train': -187.33043591645725, 'beta0_train': -735.802807343753, 'beta1_val': -512.6873530184058, 'beta0_val': -746.9080518849931, 'selected_score': -735.802807343753, 'evaluations': 95, 'seconds': 0.10757699998794124, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",32,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",9733.626704999999,1656.1541739753284,0.15320069999143016,0.30884290000540204
"[{'theta': array([-1448.04256854]), 'n_active': 1, 'beta1_train': -4476.140684510492, 'beta0_train': -4564.953514270467, 'beta1_val': -4572.0, 'beta0_val': -4572.0, 'selected_score': -4564.953514270467, 'evaluations': 25, 'seconds': 0.03280780000204686, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6328.50923048,     0.        ]), 'n_active': 1, 'beta1_train': -2663.0113565728816, 'beta0_train': -2694.4972386383765, 'beta1_val': -2586.718974942096, 'beta0_val': -2696.41273930434, 'selected_score': -2694.4972386383765, 'evaluations': 20, 'seconds': 0.0261742000002414, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4304.83484856,     0.        , -5449.33872826,     0.        ]), 'n_active': 2, 'beta1_train': -841.4447316051052, 'beta0_train': -1095.409707424984, 'beta1_val': -865.4867144682651, 'beta0_val': -1023.3897193790006, 'selected_score': -1095.409707424984, 'evaluations': 75, 'seconds': 0.08752909999748226, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}]",33,"[{'update_slot': 60, 'hour': 10, 'info': 'state', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}, {'update_slot': 84, 'hour': 14, 'info': 'both', 'lp_status': 'optimal', 'lp_message': '', 'fallback': False}]",1656.1541739753284,2370.3564348994687,0.14651109999977052,0.30511879999539815
